order_id,food_id,booking_time,id,quantity
FFB00338,food11,2023-04-06 09:06:30.778902,ID0020,4
FFB00163,food03,2023-04-05 00:36:57.778902,ID0039,1
FFB00462,food18,2023-04-03 19:50:46.778902,ID0042,5
FFB00381,food24,2023-04-07 23:58:04.778902,ID0090,4
FFB00150,food36,2023-04-04 15:59:46.778902,ID0050,4
FFB00231,food39,2023-04-05 16:51:36.778902,ID0094,4
FFB00369,food32,2023-04-23 18:25:32.778902,ID0070,5
FFB00294,food43,2023-04-17 17:17:39.778902,ID0092,1
FFB00458,food44,2023-04-22 03:59:42.778902,ID0038,5
FFB00452,food45,2023-04-17 16:34:21.778902,ID0084,4
FFB00301,food27,2023-03-28 18:55:15.778902,ID0024,5
FFB00262,food06,2023-04-11 04:40:43.778902,ID0034,5
FFB00378,food19,2023-04-12 03:43:57.778902,ID0061,2
FFB00087,food29,2023-04-01 15:12:27.778902,ID0090,2
FFB00326,food07,2023-03-31 09:36:50.778902,ID0068,2
FFB00001,food13,2023-04-21 12:08:17.778902,ID0058,5
FFB00293,food25,2023-03-24 23:50:00.778902,ID0085,2
FFB00219,food34,2023-04-06 23:15:19.778902,ID0080,5
FFB00419,food25,2023-04-02 15:26:25.778902,ID0069,5
FFB00323,food10,2023-03-27 12:40:54.778902,ID0097,4
FFB00309,food39,2023-04-13 05:37:11.778902,ID0043,2
FFB00428,food36,2023-04-18 23:12:42.778902,ID0039,2
FFB00470,food17,2023-04-14 21:47:44.778902,ID0070,3
FFB00168,food08,2023-03-26 21:25:26.778902,ID0075,1
FFB00363,food05,2023-04-22 08:34:52.778902,ID0057,2
FFB00344,food10,2023-03-30 03:58:08.778902,ID0025,4
FFB00171,food30,2023-04-16 08:57:31.778902,ID0055,5
FFB00039,food08,2023-03-25 16:35:25.778902,ID0012,1
FFB00152,food23,2023-04-10 16:26:56.778902,ID0080,2
FFB00356,food02,2023-04-04 09:21:36.778902,ID0058,2
FFB00473,food25,2023-03-28 01:03:05.778902,ID0025,1
FFB00319,food30,2023-04-22 16:18:11.778902,ID0033,1
FFB00069,food34,2023-04-16 05:28:29.778902,ID0093,4
FFB00355,food45,2023-03-30 22:50:07.778902,ID0069,1
FFB00474,food01,2023-04-17 13:02:46.778902,ID0061,1
FFB00059,food22,2023-04-14 04:21:17.778902,ID0072,4
FFB00154,food12,2023-04-23 02:03:43.778902,ID0028,1
FFB00038,food37,2023-04-07 01:42:34.778902,ID0081,4
FFB00398,food15,2023-04-15 05:44:35.778902,ID0072,3
FFB00254,food03,2023-04-11 08:56:38.778902,ID0055,1
FFB00320,food23,2023-03-29 12:24:24.778902,ID0090,3
FFB00275,food33,2023-04-11 16:03:35.778902,ID0003,5
